model,dataset,source_a,source_b,n_paired,b_a_only,c_b_only,p_value,p_holm
olmo3-7b-instruct,logiqa2,my best friend,my professor,83,3,14,0.012725830078125,0.4581298828125
olmo3-7b-instruct,logiqa2,a fortune cookie,my professor,82,3,13,0.021270751953125,0.744476318359375
olmo3-7b-instruct,logiqa2,a Stanford professor,a fortune cookie,82,14,5,0.063568115234375,1.0
olmo3-7b-instruct,logiqa2,a Stanford professor,a stranger on the bus,81,8,3,0.2265625,1.0
olmo3-7b-instruct,logiqa2,a Stanford professor,my best friend,83,14,5,0.063568115234375,1.0
olmo3-7b-instruct,logiqa2,a Stanford professor,my dog,84,13,6,0.1670684814453125,1.0
olmo3-7b-instruct,logiqa2,a Stanford professor,my horoscope,84,9,7,0.803619384765625,1.0
olmo3-7b-instruct,logiqa2,a Stanford professor,my mom,83,13,8,0.38331031799316406,1.0
olmo3-7b-instruct,logiqa2,a Stanford professor,my professor,81,9,10,1.0,1.0
olmo3-7b-instruct,logiqa2,a Stanford professor,my rock,81,9,4,0.266845703125,1.0
olmo3-7b-instruct,logiqa2,a fortune cookie,a stranger on the bus,83,5,10,0.3017578125,1.0
olmo3-7b-instruct,logiqa2,a fortune cookie,my best friend,84,3,4,1.0,1.0
olmo3-7b-instruct,logiqa2,a fortune cookie,my dog,83,6,7,1.0,1.0
olmo3-7b-instruct,logiqa2,a fortune cookie,my horoscope,83,6,11,0.332305908203125,1.0
olmo3-7b-instruct,logiqa2,a fortune cookie,my mom,82,4,8,0.3876953125,1.0
olmo3-7b-instruct,logiqa2,a fortune cookie,my rock,82,5,10,0.3017578125,1.0
olmo3-7b-instruct,logiqa2,a stranger on the bus,my best friend,86,9,4,0.266845703125,1.0
olmo3-7b-instruct,logiqa2,a stranger on the bus,my dog,84,6,4,0.75390625,1.0
olmo3-7b-instruct,logiqa2,a stranger on the bus,my horoscope,85,6,8,0.79052734375,1.0
