model,dataset,n,p_clean,p_fallback,p_think_unclosed,quarantined
olmo3-7b-instruct,agieval,3528,0.4943310657596372,0.5011337868480725,0.0,True
olmo3-7b-instruct,logiqa2,3600,0.9163888888888889,0.08055555555555556,0.0,False
olmo3-7b-instruct,medqa,3600,0.8852777777777778,0.11444444444444445,0.0,False
olmo3-7b-instruct,mmlu,3600,0.9811111111111112,0.01888888888888889,0.0,False
olmo3-7b-think,agieval,2052,0.0,0.0,0.9205653021442495,True
olmo3-7b-think,logiqa2,2736,0.40789473684210525,0.0,0.5862573099415205,True
olmo3-7b-think,medqa,2772,0.31385281385281383,0.0,0.6544011544011544,True
olmo3-7b-think,mmlu,3204,0.6626092384519351,0.0,0.33614232209737827,True
qwen3-8b-nothink,agieval,3096,0.5555555555555556,0.4085917312661499,0.0,True
qwen3-8b-nothink,logiqa2,3564,0.9472502805836139,0.050505050505050504,0.0,False
qwen3-8b-nothink,medqa,3600,0.7472222222222222,0.25083333333333335,0.0,False
qwen3-8b-nothink,mmlu,3600,0.9786111111111111,0.021111111111111112,0.0,False
qwen3-8b-think,agieval,1836,0.2777777777777778,0.0,0.6459694989106753,True
qwen3-8b-think,logiqa2,2916,0.6776406035665294,0.0,0.2578875171467764,True
qwen3-8b-think,medqa,3078,0.6708901884340481,0.0,0.2810266406757635,True
qwen3-8b-think,mmlu,3492,0.847651775486827,0.0,0.1354524627720504,False
r1-distill-qwen-7b,agieval,1404,0.14814814814814814,0.0,0.7329059829059829,True
r1-distill-qwen-7b,logiqa2,2736,0.6560672514619883,0.0,0.26571637426900585,True
r1-distill-qwen-7b,medqa,2520,0.5059523809523809,0.0,0.2777777777777778,True
r1-distill-qwen-7b,mmlu,3204,0.7097378277153558,0.0,0.22659176029962547,False
