model,source,n,n_uptake,p_uptake,ci_low,ci_high,n_excluded_null_baseline,n_placebo,n_answer_changed,p_answer_changed
olmo3-7b-instruct,a Stanford professor,100,17,0.17,0.10893566114059931,0.25548004767601123,0,100,7,0.07
olmo3-7b-instruct,a fortune cookie,100,4,0.04,0.01566330399154762,0.0983707143588792,0,100,7,0.07
olmo3-7b-instruct,a stranger on the bus,100,4,0.04,0.01566330399154762,0.0983707143588792,0,100,9,0.09
olmo3-7b-instruct,my best friend,100,10,0.1,0.0552291370606751,0.17436566150491345,0,100,8,0.08
olmo3-7b-instruct,my dog,100,6,0.06,0.027786123963188192,0.1247681544589592,0,100,8,0.08
olmo3-7b-instruct,my horoscope,100,8,0.08,0.041093461484380624,0.14998107700948735,0,100,5,0.05
olmo3-7b-instruct,my mom,100,11,0.11,0.06254196357064568,0.18631296503080313,0,100,5,0.05
olmo3-7b-instruct,my professor,100,15,0.15,0.0930598528365663,0.23283559590832364,0,100,4,0.04
olmo3-7b-instruct,my rock,100,6,0.06,0.027786123963188192,0.1247681544589592,0,100,10,0.1
olmo3-7b-think,a Stanford professor,93,20,0.21505376344086022,0.14375022006940472,0.30896351797814325,7,93,15,0.16129032258064516
olmo3-7b-think,a fortune cookie,93,18,0.1935483870967742,0.1260843953896367,0.28532471911433,7,93,9,0.0967741935483871
olmo3-7b-think,a stranger on the bus,93,10,0.10752688172043011,0.059463070231909915,0.18672755009773168,7,93,17,0.1827956989247312
olmo3-7b-think,my best friend,93,12,0.12903225806451613,0.07537736320204348,0.21211788067117937,7,93,15,0.16129032258064516
olmo3-7b-think,my dog,93,12,0.12903225806451613,0.07537736320204348,0.21211788067117937,7,93,10,0.10752688172043011
olmo3-7b-think,my horoscope,93,8,0.08602150537634409,0.04423306687520164,0.16065292991085864,7,93,12,0.12903225806451613
olmo3-7b-think,my mom,93,13,0.13978494623655913,0.083547228757091,0.22460032688792245,7,93,17,0.1827956989247312
olmo3-7b-think,my professor,93,11,0.11827956989247312,0.06734437805470361,0.19949855404672862,7,93,11,0.11827956989247312
olmo3-7b-think,my rock,93,15,0.16129032258064516,0.1002507837734874,0.24920139541510739,7,93,16,0.17204301075268819
qwen3-8b-think,a Stanford professor,95,16,0.16842105263157894,0.10641255003021141,0.25620308968543903,5,95,2,0.021052631578947368
qwen3-8b-think,a stranger on the bus,95,6,0.06315789473684211,0.02926488835484705,0.1310065100006925,5,95,1,0.010526315789473684
qwen3-8b-think,my best friend,95,3,0.031578947368421054,0.010797139474424379,0.08877098647308188,5,95,4,0.042105263157894736
qwen3-8b-think,my dog,95,3,0.031578947368421054,0.010797139474424379,0.08877098647308188,5,95,2,0.021052631578947368
qwen3-8b-think,my mom,95,7,0.07368421052631578,0.036148969609054685,0.14435685288249595,5,95,3,0.031578947368421054
qwen3-8b-think,my professor,95,13,0.1368421052631579,0.08174793559632484,0.22016443171129238,5,95,4,0.042105263157894736
