model,dataset,source,flip,placebo,neg_own,neg_other
olmo3-7b-instruct,agieval,a Stanford professor,0.6122448979591837,0.3469387755102041,0.5102040816326531,0.6020408163265306
olmo3-7b-instruct,agieval,my professor,0.6836734693877551,0.2653061224489796,,
olmo3-7b-instruct,logiqa2,a Stanford professor,0.48,0.08,0.48,0.44
olmo3-7b-instruct,logiqa2,a fortune cookie,0.45,0.14,0.28,0.37
olmo3-7b-instruct,logiqa2,a stranger on the bus,0.48,0.18,0.23,0.32
olmo3-7b-instruct,logiqa2,my best friend,0.4,0.1,0.27,0.49
olmo3-7b-instruct,logiqa2,my dog,0.42,0.15,0.26,0.36
olmo3-7b-instruct,logiqa2,my horoscope,0.45,0.11,0.33,0.39
olmo3-7b-instruct,logiqa2,my mom,0.44,0.12,0.36,0.42
olmo3-7b-instruct,logiqa2,my professor,0.47,0.13,0.43,0.32
olmo3-7b-instruct,logiqa2,my rock,0.46,0.19,0.3,0.39
olmo3-7b-instruct,medqa,a Stanford professor,0.48,0.15,0.46,0.38
olmo3-7b-instruct,medqa,a fortune cookie,0.39,0.18,0.33,0.37
olmo3-7b-instruct,medqa,a stranger on the bus,0.39,0.19,0.27,0.38
olmo3-7b-instruct,medqa,my best friend,0.52,0.18,0.28,0.38
olmo3-7b-instruct,medqa,my dog,0.38,0.2,0.32,0.35
olmo3-7b-instruct,medqa,my horoscope,0.43,0.12,0.35,0.32
olmo3-7b-instruct,medqa,my mom,0.4,0.15,0.37,0.37
olmo3-7b-instruct,medqa,my professor,0.5,0.1,0.43,0.35
olmo3-7b-instruct,medqa,my rock,0.45,0.16,0.31,0.37
olmo3-7b-instruct,mmlu,a Stanford professor,0.3,0.08,0.36,0.25
olmo3-7b-instruct,mmlu,a fortune cookie,0.28,0.09,0.3,0.21
olmo3-7b-instruct,mmlu,a stranger on the bus,0.18,0.14,0.22,0.26
olmo3-7b-instruct,mmlu,my best friend,0.23,0.07,0.33,0.32
olmo3-7b-instruct,mmlu,my dog,0.22,0.09,0.26,0.21
olmo3-7b-instruct,mmlu,my horoscope,0.23,0.07,0.34,0.29
olmo3-7b-instruct,mmlu,my mom,0.23,0.1,0.43,0.3
olmo3-7b-instruct,mmlu,my professor,0.27,0.02,0.28,0.26
olmo3-7b-instruct,mmlu,my rock,0.26,0.06,0.35,0.24
olmo3-7b-think,agieval,a Stanford professor,0.7017543859649122,0.5263157894736842,,
olmo3-7b-think,logiqa2,a Stanford professor,0.5245901639344263,0.45901639344262296,0.3626373626373626,0.3956043956043956
olmo3-7b-think,logiqa2,a fortune cookie,0.6065573770491803,0.39344262295081966,,
olmo3-7b-think,logiqa2,a stranger on the bus,0.5409836065573771,0.4262295081967213,,
olmo3-7b-think,logiqa2,my best friend,0.5081967213114754,0.4098360655737705,,
olmo3-7b-think,logiqa2,my dog,0.5409836065573771,0.39344262295081966,,
olmo3-7b-think,logiqa2,my horoscope,0.639344262295082,0.32786885245901637,,
olmo3-7b-think,logiqa2,my mom,0.6065573770491803,0.3770491803278688,0.37362637362637363,
olmo3-7b-think,logiqa2,my professor,0.6721311475409836,0.32786885245901637,0.38461538461538464,0.4725274725274725
olmo3-7b-think,logiqa2,my rock,0.5409836065573771,0.39344262295081966,,
olmo3-7b-think,medqa,a Stanford professor,0.65,0.48333333333333334,0.5,0.43617021276595747
olmo3-7b-think,medqa,a fortune cookie,0.6666666666666666,0.5333333333333333,,
olmo3-7b-think,medqa,a stranger on the bus,0.5833333333333334,0.5333333333333333,,
olmo3-7b-think,medqa,my best friend,0.5833333333333334,0.5666666666666667,,
olmo3-7b-think,medqa,my dog,0.5166666666666667,0.55,,
olmo3-7b-think,medqa,my horoscope,0.5333333333333333,0.5,,
olmo3-7b-think,medqa,my mom,0.5833333333333334,0.5333333333333333,0.3829787234042553,
olmo3-7b-think,medqa,my professor,0.7,0.5333333333333333,0.5,0.44680851063829785
olmo3-7b-think,medqa,my rock,0.6333333333333333,0.48333333333333334,,
olmo3-7b-think,mmlu,a Stanford professor,0.3146067415730337,0.10112359550561797,0.24719101123595505,0.21348314606741572
olmo3-7b-think,mmlu,a stranger on the bus,0.23595505617977527,0.1348314606741573,0.15730337078651685,0.2696629213483146
olmo3-7b-think,mmlu,my best friend,0.2808988764044944,0.14606741573033707,0.19101123595505617,0.16853932584269662
olmo3-7b-think,mmlu,my dog,0.20224719101123595,0.12359550561797752,0.14606741573033707,
olmo3-7b-think,mmlu,my mom,0.25842696629213485,0.14606741573033707,0.2247191011235955,0.2247191011235955
olmo3-7b-think,mmlu,my professor,0.38202247191011235,0.12359550561797752,0.33707865168539325,0.19101123595505617
qwen3-8b-nothink,agieval,a Stanford professor,0.6395348837209303,0.38372093023255816,0.5,0.5930232558139535
qwen3-8b-nothink,agieval,a fortune cookie,0.627906976744186,0.38372093023255816,,
qwen3-8b-nothink,agieval,a stranger on the bus,0.627906976744186,0.43023255813953487,,
qwen3-8b-nothink,agieval,my best friend,0.6162790697674418,0.4069767441860465,,
qwen3-8b-nothink,agieval,my dog,0.5697674418604651,0.4418604651162791,,
qwen3-8b-nothink,agieval,my horoscope,0.686046511627907,0.4069767441860465,,
qwen3-8b-nothink,agieval,my mom,0.6511627906976745,0.38372093023255816,,
qwen3-8b-nothink,agieval,my professor,0.5813953488372093,0.38372093023255816,0.6046511627906976,0.5697674418604651
qwen3-8b-nothink,agieval,my rock,0.5930232558139535,0.4186046511627907,,
qwen3-8b-nothink,logiqa2,a Stanford professor,0.37373737373737376,0.2222222222222222,0.25252525252525254,0.3333333333333333
qwen3-8b-nothink,logiqa2,a fortune cookie,0.32323232323232326,0.24242424242424243,,
qwen3-8b-nothink,logiqa2,a stranger on the bus,0.36363636363636365,0.1919191919191919,0.30303030303030304,0.3434343434343434
qwen3-8b-nothink,logiqa2,my best friend,0.36363636363636365,0.2727272727272727,0.37373737373737376,0.3333333333333333
qwen3-8b-nothink,logiqa2,my dog,0.2828282828282828,0.29292929292929293,0.30303030303030304,0.31313131313131315
qwen3-8b-nothink,logiqa2,my horoscope,0.30303030303030304,0.25252525252525254,,
qwen3-8b-nothink,logiqa2,my mom,0.3434343434343434,0.2222222222222222,0.3434343434343434,0.30303030303030304
qwen3-8b-nothink,logiqa2,my professor,0.2828282828282828,0.2222222222222222,0.37373737373737376,0.31313131313131315
qwen3-8b-nothink,logiqa2,my rock,0.32323232323232326,0.2222222222222222,,
qwen3-8b-nothink,medqa,a Stanford professor,0.34,0.16,0.27,0.35
qwen3-8b-nothink,medqa,a fortune cookie,0.33,0.18,,
qwen3-8b-nothink,medqa,a stranger on the bus,0.34,0.21,0.19,0.25
qwen3-8b-nothink,medqa,my best friend,0.34,0.14,0.25,0.31
qwen3-8b-nothink,medqa,my dog,0.35,0.17,0.29,
qwen3-8b-nothink,medqa,my horoscope,0.4,0.21,,
qwen3-8b-nothink,medqa,my mom,0.37,0.21,0.23,0.33
qwen3-8b-nothink,medqa,my professor,0.4,0.11,0.27,0.34
qwen3-8b-nothink,medqa,my rock,0.31,0.11,,
qwen3-8b-nothink,mmlu,a Stanford professor,0.29,0.28,0.3,0.28
qwen3-8b-nothink,mmlu,a fortune cookie,0.3,0.27,0.34,0.29
qwen3-8b-nothink,mmlu,a stranger on the bus,0.32,0.26,0.37,0.33
qwen3-8b-nothink,mmlu,my best friend,0.29,0.25,0.29,0.31
qwen3-8b-nothink,mmlu,my dog,0.28,0.23,0.26,0.25
qwen3-8b-nothink,mmlu,my horoscope,0.28,0.21,0.33,0.33
qwen3-8b-nothink,mmlu,my mom,0.32,0.29,0.26,0.23
qwen3-8b-nothink,mmlu,my professor,0.36,0.25,0.27,0.3
qwen3-8b-nothink,mmlu,my rock,0.32,0.26,0.25,0.26
qwen3-8b-think,agieval,a Stanford professor,0.8518518518518519,0.5185185185185185,0.4266666666666667,
qwen3-8b-think,agieval,a fortune cookie,0.8148148148148148,0.48148148148148145,,
qwen3-8b-think,agieval,a stranger on the bus,0.7037037037037037,0.4444444444444444,,
qwen3-8b-think,agieval,my best friend,0.8518518518518519,0.5185185185185185,,
qwen3-8b-think,agieval,my dog,0.8148148148148148,0.4074074074074074,,
qwen3-8b-think,agieval,my horoscope,0.8888888888888888,0.5555555555555556,,
qwen3-8b-think,agieval,my mom,0.7777777777777778,0.5925925925925926,,
qwen3-8b-think,agieval,my professor,0.8888888888888888,0.5555555555555556,,
qwen3-8b-think,agieval,my rock,0.8518518518518519,0.2962962962962963,,
qwen3-8b-think,logiqa2,a Stanford professor,0.38235294117647056,0.07352941176470588,0.24468085106382978,0.19148936170212766
qwen3-8b-think,logiqa2,a fortune cookie,0.5294117647058824,0.17647058823529413,,
qwen3-8b-think,logiqa2,a stranger on the bus,0.3382352941176471,0.17647058823529413,,
qwen3-8b-think,logiqa2,my best friend,0.4264705882352941,0.25,,
qwen3-8b-think,logiqa2,my dog,0.39705882352941174,0.14705882352941177,,
qwen3-8b-think,logiqa2,my horoscope,0.45588235294117646,0.14705882352941177,,
qwen3-8b-think,logiqa2,my mom,0.35294117647058826,0.17647058823529413,,
qwen3-8b-think,logiqa2,my professor,0.5441176470588235,0.17647058823529413,0.35106382978723405,
qwen3-8b-think,logiqa2,my rock,0.5,0.17647058823529413,,
qwen3-8b-think,medqa,a Stanford professor,0.6133333333333333,0.14666666666666667,0.3958333333333333,0.13541666666666666
qwen3-8b-think,medqa,a fortune cookie,0.5066666666666667,0.14666666666666667,,
qwen3-8b-think,medqa,a stranger on the bus,0.3333333333333333,0.17333333333333334,,
qwen3-8b-think,medqa,my best friend,0.3466666666666667,0.22666666666666666,,
qwen3-8b-think,medqa,my dog,0.4266666666666667,0.17333333333333334,,
qwen3-8b-think,medqa,my horoscope,0.44,0.2,,
qwen3-8b-think,medqa,my mom,0.4266666666666667,0.2,,
qwen3-8b-think,medqa,my professor,0.5466666666666666,0.10666666666666667,0.4270833333333333,
qwen3-8b-think,medqa,my rock,0.48,0.17333333333333334,,
qwen3-8b-think,mmlu,a Stanford professor,0.1958762886597938,0.041237113402061855,0.17525773195876287,0.05154639175257732
qwen3-8b-think,mmlu,a stranger on the bus,0.10309278350515463,0.041237113402061855,0.08247422680412371,0.08247422680412371
qwen3-8b-think,mmlu,my best friend,0.13402061855670103,0.041237113402061855,0.07216494845360824,0.09278350515463918
qwen3-8b-think,mmlu,my dog,0.10309278350515463,0.020618556701030927,0.061855670103092786,0.061855670103092786
qwen3-8b-think,mmlu,my mom,0.16494845360824742,0.030927835051546393,0.09278350515463918,0.09278350515463918
qwen3-8b-think,mmlu,my professor,0.21649484536082475,0.041237113402061855,0.25773195876288657,0.10309278350515463
qwen3-8b-think,mmlu,my rock,0.14432989690721648,0.030927835051546393,0.07216494845360824,
r1-distill-qwen-7b,logiqa2,a Stanford professor,0.39473684210526316,,,
r1-distill-qwen-7b,medqa,a Stanford professor,0.5428571428571428,0.4142857142857143,0.5,
r1-distill-qwen-7b,mmlu,a Stanford professor,0.2808988764044944,0.14606741573033707,0.3595505617977528,0.20224719101123595
r1-distill-qwen-7b,mmlu,a stranger on the bus,0.23595505617977527,0.1348314606741573,0.15730337078651685,0.24719101123595505
r1-distill-qwen-7b,mmlu,my best friend,0.24719101123595505,0.11235955056179775,0.20224719101123595,0.24719101123595505
r1-distill-qwen-7b,mmlu,my dog,0.20224719101123595,0.12359550561797752,0.2247191011235955,0.24719101123595505
r1-distill-qwen-7b,mmlu,my horoscope,0.23595505617977527,0.11235955056179775,0.19101123595505617,
r1-distill-qwen-7b,mmlu,my mom,0.24719101123595505,0.16853932584269662,0.2247191011235955,0.25842696629213485
r1-distill-qwen-7b,mmlu,my professor,0.3595505617977528,0.0898876404494382,0.43820224719101125,0.25842696629213485
r1-distill-qwen-7b,mmlu,my rock,0.34831460674157305,0.16853932584269662,0.20224719101123595,0.14606741573033707
